카드이름,카드혜택,연회비,전월실적
해외에선 체크카드,"여행업종
5% 할인
배달앱
5% 할인
해외 물품 구매 수수료
1.25% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
리브 NEXT카드,"편의점
5% 환급할인
올리브영
5% 환급할인
구글 플레이/앱스토어
5% 환급할인",국내전용 없음,전월실적 없음
KB국민 티머니노리학생증 체크카드(블루_세로형),"이동통신요금
2,500원 환급할인
스타벅스
20% 환급할인
GS25
5% 환급할인",국내전용 없음,전월실적 20만원 이상
Liiv Mate 체크카드,"국내외 가맹점
0.2% 기본적립
커피/제과아이스크림
0.8% 추가적립
영화
0.8% 추가적립",국내전용 없음,전월실적 30만원 이상
새로이 체크카드,"편의점
5% 할인
이동통신요금
5% 할인
정기구독
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
KB국민 우리동네 체크카드,"세탁소, 정육점
10% 할인
슈퍼마켓
5% 할인
번개장터
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
샘 쏘영 체크카드,"스트리밍
5% 할인
패스트푸드
5% 할인
편의점
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 5만원 이상
ONE 체크카드,"모든가맹점
0.2% 기본적립
주말/공휴일
0.2% 추가적립
대중교통/택시
0.2% 추가적립",해외겸용 없음,전월실적 10만원 이상
KB국민 티머니 노리 학생증체크카드(퍼플),"이동통신요금
2,500원 환급할인
스타벅스
20% 환급할인
GS25
5% 환급할인",국내전용 없음,전월실적 20만원 이상
펭수 노리 체크카드(펭모티콘),"대중교통
10% 청구할인
이동통신요금
2,500원 환급할인
CGV
35% 환급할인",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
탐나는전 체크카드,"국내외가맹점
0.2% 기본적립
주말/공휴일
0.2% 추가적립
대중교통/택시
0.2% 추가적립",국내전용 없음,전월실적 10만원 이상
가온체크카드,"모든가맹점
0.2% 적립
주말/공휴일
0.2% 추가적립
대중교통/택시
0.2% 추가적립",국내전용 없음,전월실적 10만원 이상
LG U+ 체크카드,"LGU+ 이동통신요금
6,000원~4,000원 할인
스타벅스
10% 할인
CGV
10% 할인",해외겸용 없음,전월실적 30만원 이상
Liiv M 체크카드,"통신요금
5% 할인
야놀자
3% 할인
CU편의점
3% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
Young Youth 체크카드,"뷰티/편의점
5% 할인
패스트푸드
5% 할인
온라인쇼핑
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 5만원 이상
티머니 체크카드,"영화
20% 할인
놀이공원
30% 할인
패밀리레스토랑 최대
15% 할인",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
KB국민 티머니노리학생증 체크카드(그린_세로형),"이동통신요금
2,500원 환급할인
스타벅스
20% 환급할인
GS25
5% 환급할인",국내전용 없음,전월실적 없음
해피락스타 체크카드,"스타벅스
20% 할인
CGV
35% 할인
이동통신요금
2,500원 할인",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
AK KB국민 체크카드,"AK플라자
5% 할인
제주항공
5% 할인
커피전문점
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
레고랜드 체크카드,"레고랜드
5% 환급할인
스타벅스
20% 환급할인
대중교통
10% 환급할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
아이행복 체크카드,"인터넷쇼핑몰
5% 할인
약국
5% 할인",해외겸용 없음,전월실적 10만원 이상
해피CU포인트 체크카드,"CU편의점
2% 제휴포인트 적립
해피포인트 가맹점
2% 제휴포인트 적립
대중교통/택시
1% KB포인트리 적립",해외겸용 없음,전월실적 30만원 이상
KB국민 티머니노리학생증 체크카드(그린),"이동통신요금
2,500원 환급할인
스타벅스
20% 환급할인
GS25
5% 환급할인",국내전용 없음,전월실적 20만원 이상
KB국민 티머니노리학생증 체크카드(블루),"이동통신요금
2,500원 환급할인
스타벅스
20% 환급할인
GS25
5% 환급할인",국내전용 없음,전월실적 없음
KB국민 티머니노리학생증 체크카드(세로형_퍼플),"이동통신요금
2,500원 환급할인
스타벅스
20% 환급할인
GS25
5% 환급할인",국내전용 없음,전월실적 20만원 이상
아모레퍼시픽 체크카드,"아모레퍼시픽 가맹점
10% 할인
해피포인트 가맹점
5% 할인
스타벅스
10% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
위메프페이 체크카드,"위메프/위메프오
1% 적립
GS25편의점
2% 적립
커피/제과업종
5% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
음 체크카드,"한식업종
5% 할인
커피전문점
5% 할인
대중교통
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
정 체크카드,"백화점
7% 할인
홈쇼핑/온라인쇼핑
5% 할인
미용실/화장품
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
해피리워드 체크카드,"해피오더 결제 시
1천원 할인
해피마켓 결제 시
1천원 할인
해피가맹점 결제 시
1천원 할인",국내전용 없음 / 해외겸용 없음,전월실적 10만원 이상
LOCA 365 카드,"아파트관리비, 공과금
10% 할인
교통, 통신, 배달앱
10% 할인
스트리밍
1,500원 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 50만원 이상
LOCA LIKIT 1.2,"모든가맹점
1.2% 할인
온라인
1.5% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
LOCA LIKIT Play,"주유소
60% 할인
영화
60% 할인
구독서비스
60% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
LOCA LIKIT - Manhattan Yellow,"스타벅스 최대
60% 할인
영화
50% 할인
이동통신
10% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
LOCA LIKIT Eat,"음식점
60% 할인
배달앱
60% 할인
커피
60% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
롯데백화점 롯데카드,"롯데백화점
15% 할인
롯데백화점
5% e-쿠폰
롯데백화점
12개월 할부서비스","국내전용 10,000원 / 해외겸용 15,000원",전월실적 30만원 이상
SKYPASS 롯데 아멕스카드,"1,000원당
국내 1마일 적립
1,000원당
해외 2마일 적립
SKYPASS
회원 할인 서비스","해외겸용 20,000원",전월실적 없음
LOCA LIKIT - New York Blue,"스타벅스 최대
60% 할인
영화
50% 할인
이동통신
10% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
LOCA LIKIT Shop,"온라인쇼핑
60% 할인
미용실
60% 할인
편의점
60% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
롯데백화점 FLEX카드,"국내외가맹점
0.5% 적립
스트리밍
30% 할인
커피
50% 할인","국내전용 100,000원 / 해외겸용 100,000원",전월실적 50만원 이상
롯데포인트 플러스 카드,"L.POINT
더블포인트 적립
6개월
슬림할부 서비스
롯데백화점
5% 할인쿠폰","국내전용 5,000원 / 해외겸용 5,000원",전월실적 없음
아멕스 플래티넘 아시아나클럽 롯데카드,"아시아나마일리지
1천원당 1마일 적립
공항라운지
무료이용 서비스","국내전용 55,000원 / 해외겸용 55,000원",전월실적 50만원 이상
쿠팡 롯데카드,"쿠팡
15% 할인
외식업종
10% 할인
롯데월드
50% 할인","국내전용 5,000원 / 해외겸용 10,000원",전월실적 20만원 이상
I’m YOLO 플래티넘,"1,000원당
1마일 적립
특별가맹점
1마일 추가적립
공항라운지
무료 이용","국내전용 48,000원 / 해외겸용 50,000원",전월실적 50만원 이상
LOCA Mobility 반띵 카드,"대중교통
50% 할인
로카모빌리티카드
무료 제공
카페/미용실/쇼핑/스트리밍
50% 할인","국내전용 17,000원 / 해외겸용 17,000원",전월실적 40만원 이상
I’m ACTIVE,"병원, 약국
5% 캐시백
보험료
5% 캐시백
월 이용 TOP3
5% 캐시백","국내전용 15,000원 / 해외겸용 15,000원",전월실적 40만원 이상
하나은행 밀리언달러 카드,"국제브랜드사 수수료
면제 서비스
해외 온라인가맹점
5% 캐시백
스트리밍
50% 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 없음
LOCA CLASSIC,"국내외가맹점
최대1% 할인
하나의 전월 실적으로
두 장의 카드 혜택","국내전용 20,000원 / 해외겸용 20,000원",전월실적 150만원 이상
네이버페이 플래티넘 롯데카드,"일반가맹점
0.5% 적립
네이버페이가맹점
3% 적립","국내전용 15,000원 / 해외겸용 15,000원",전월실적 없음
I’m GREAT,"통신/공과금/교육/보험
5~10% 할인
마트/슈퍼
5~10% 할인
의료/교통/편의점
5~10% 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 50만원 이상
카카오뱅크 롯데카드,"국내외가맹점
0.5% 캐시백
스페셜가맹점
5% 캐시백","국내전용 15,000원 / 해외겸용 15,000원",전월실적 없음
롯데 국민행복카드,"어린이집보육료
10% 할인
병원
5% 할인
학원
10% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
네이버페이 쇼핑엔로카,"장기할부 이용 시
최대 15,000 포인트 적립
장기할부 미 이용 시
1% 포인트 적립
장기할부 서비스
최대 36개월 제공","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
I’m DRIVING,"주유소
5천원 할인
대리운전
5% 할인
엔진오일교환
2만5천원 할인","국내전용 18,000원 / 해외겸용 18,000원",전월실적 50만원 이상
LOCA 나누기 카드,"이용금액에 따라
최대 6개월 나누기 혜택 제공","국내전용 20,000원 / 해외겸용 20,000원",전월실적 없음
New PAYCO 롯데카드,"PAYCO 결제시
3% 적립
국내외가맹점 최대
0.7% 적립","국내전용 15,000원 / 해외겸용 15,000원",전월실적 없음
LOCA MONEY,"국내외가맹점
1% 적립
카드대출 이용시
2% 적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 없음
롯데마트&MAXX 카드,"롯데마트
최대 10% 할인
5대 생활업종
최대 5% 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 100만원 이상
I’m WONDERFUL platinum,"국내외가맹점
최대0.7% 할인
10만원 이상
최대1.4% 할인
공항라운지
무료 이용","국내전용 35,000원 / 해외겸용 35,000원",전월실적 30만원 이상
ALL MY LIVING,"교통/의료/교육
5% 할인
마트/슈퍼/편의점
5% 할인
통신/관리비
5% 할인","국내전용 15,000원 / 해외겸용 18,000원",전월실적 50만원 이상
ALL MY DRIVING,"주유
80원/L 할인
롯데마트/교통
10% 할인
엔진오일
25,000원 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 30만원 이상
세븐일레븐 멤버쉽롯데카드,"세븐일레븐
10% 할인
2년차부터
연회비면제 서비스
미용실 최대
20% 할인","국내전용 5,000원",전월실적 없음
올마이쇼핑 카드 (해외),"쇼핑
5% 할인
편의점
5% 할인
해외
10% 할인","해외겸용 15,000원",전월실적 50만원 이상
ALL MY POINT,"모든가맹점
1% 적립
교통/통신/마트
1.5% 적립
주유/해외
1.5% 적립","국내전용 15,000원 / 해외겸용 18,000원",전월실적 50만원 이상
E1 LPG 롯데카드,"E1 LPG 충전소
87P/L 적립
하이패스
30% 적립
자동차보험료
3만원 할인","국내전용 15,000원",전월실적 30만원 이상
나무 롯데카드,"국내외가맹점 최대
1.0% 캐시백
버스, 지하철
50% 캐시백
커피
50% 캐시백","국내전용 20,000원 / 해외겸용 20,000원",전월실적 없음
LOCA for Shopping,"마트
10% 할인
온라인쇼핑
10% 할인
편의점
10% 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 150만원 이상
LOCA PLATINUM 마일리지형,"1,500원당
1마일 기본적립
공항라운지
무료 이용
바우처
5만원 제공","국내전용 100,000원 / 해외겸용 100,000원",전월실적 없음
경차 smart 롯데카드,"경차
유류세 환급
주유소
리터당 80원 할인
스피드메이트
엔진오일 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
샤롯데 플래티넘 스타 카드,"스페셜기프트
5만원 제공
스타포인트
최대30만점 적립
롯데시네마, 엔제리너스
1+1 서비스","해외겸용 35,000원",전월실적 없음
ALL MY DC,"모든가맹점
1% 할인
교통/통신/마트
1.5% 할인
주유/해외
1.5% 할인","국내전용 15,000원 / 해외겸용 18,000원",전월실적 50만원 이상
삼성페이 롯데카드,"삼성페이 이용시 최대
1만 4천원 할인
외식업종 최대
20% 청구할인","국내전용 5,000원",전월실적 30만원 이상
롯데마트 롯데카드,"롯데마트
10% 청구할인
놀이공원
50% 할인
미용실 최대
20% 할인","국내전용 10,000원 / 해외겸용 15,000원",전월실적 20만원 이상
인터파크 롯데카드,"국내외 가맹점
0.5% 청구할인
인터파크
5% 청구할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
Mobile x LOCA 롯데카드,"통신요금 최대
2만원 할인
모든가맹점 최대
1% 할인","국내전용 20,000원 / 해외겸용20,000원",전월실적 40만원 이상
케이뱅크 롯데카드,"국내외
최대 1% 캐시백
커피
50% 캐시백
대중교통
50% 캐시백","국내전용 15,000원 / 해외겸용 15,000원",전월실적 없음
LOCA 100 Life,"생활업종
5% 할인
자동차보험료
3만원 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 75만원 이상
롤라카드,"롯데계열사
7% 적립
주유소
1% 적립
롯데주요매장
5% 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 40만원 이상
I’m CHEERFUL,"음식점
5% 할인
시내버스/지하철
10% 할인
점심음식점
10% 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 50만원 이상
LOCA X 구독,"렌탈료 월 최대
25,000원 할인
장기할부 최대
25,000원 캐시백","국내전용 20,000원 / 해외겸용 20,000원",전월실적 30만원 이상
아시아나클럽 롯데 플래티넘 카드,"1,000원당
1마일 적립
국내선 동반자
무료항공권 서비스
공항라운지
무료 입장","해외겸용 120,000원",전월실적 없음
LOCA PLATINUM 할인형,"국내외가맹점
최대1% 할인
공항라운지
무료 이용
바우처
5만원 제공","국내전용 100,000원 / 해외겸용 100,000원",전월실적 150만원 이상
위메프페이 롯데카드,"위메프페이 결제시
2% 적립
국내외가맹점
0.7% 적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 없음
올마이쇼핑 카드 (통신),"쇼핑업종
5% 할인
이동통신
10% 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 50만원 이상
LOCA for Health,"병원
10% 할인
쇼핑
5% 할인
대중교통
10% 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 150만원 이상
